,Latitude,Longitude,Weight,Month,,
2674,59.3,187.1,0,April,,
2675,59.3,188.1,0,April,,
2676,59.3,189.1,165.56,April,,
2677,59.3,190.1,0,April,,
2678,59.3,191.1,0,April,,
2679,59.3,192.1,0,April,,
2680,59.3,193.1,0,April,,
2681,59.3,194.1,0,April,,
2682,59.3,195.1,0,April,,
2683,59.3,196.1,0,April,,
2684,59.3,197.1,0,April,,
2685,59.3,198.1,0,April,,
2686,59.3,199.1,0,April,,
2687,59.3,200.1,0,April,,
2688,59.3,201.1,0,April,,
2689,60.3,181.1,0,April,,
2690,60.3,182.1,0,April,,
2691,60.3,183.1,0,April,,
2692,60.3,184.1,0,April,,
2693,60.3,185.1,0,April,,
2694,60.3,186.1,0,April,,
2695,60.3,187.1,0,April,,
2696,60.3,188.1,0,April,,
2697,60.3,189.1,0,April,,
2698,60.3,190.1,0,April,,
2699,60.3,191.1,0,April,,
2700,60.3,192.1,0,April,,
2701,60.3,193.1,0,April,,
2702,60.3,194.1,0,April,,
2703,60.3,195.1,0,April,,
2704,60.3,196.1,0,April,,
2705,60.3,197.1,0,April,,
2706,60.3,198.1,0,April,,
2707,60.3,199.1,0,April,,
2708,60.3,200.1,0,April,,
2709,60.3,201.1,0,April,,
2710,61.3,181.1,0,April,,
2711,61.3,182.1,0,April,,
2712,61.3,183.1,0,April,,
2713,61.3,184.1,0,April,,
2714,61.3,185.1,0,April,,
2715,61.3,186.1,0,April,,
2716,61.3,187.1,0,April,,
2717,61.3,188.1,0,April,,
2718,61.3,189.1,0,April,,
2719,61.3,190.1,0,April,,
2720,61.3,191.1,0,April,,
2721,61.3,192.1,0,April,,
2722,61.3,193.1,0,April,,
2723,61.3,194.1,0,April,,
2724,61.3,195.1,0,April,,
2725,61.3,196.1,0,April,,
2726,61.3,197.1,0,April,,
2727,61.3,198.1,0,April,,
2728,61.3,199.1,0,April,,
2729,61.3,200.1,0,April,,
2730,61.3,201.1,0,April,,
2731,62.3,181.1,0,April,,
2732,62.3,182.1,0,April,,
2733,62.3,183.1,0,April,,
2734,62.3,184.1,0,April,,
2735,62.3,185.1,0,April,,
2736,62.3,186.1,0,April,,
2737,62.3,187.1,0,April,,
2738,62.3,188.1,0,April,,
2739,62.3,189.1,0,April,,
2740,62.3,190.1,0,April,,
