"","Latitude","Longitude","Weight","Year"
"312",60.3,187.1,10773.3,2017
"313",60.3,189.1,0,2017
"314",60.3,191.1,0,2017
"315",60.3,193.1,0,2017
"316",60.3,195.1,0,2017
"317",60.3,197.1,0,2017
"318",60.3,199.1,0,2017
"319",60.3,201.1,0,2017
"320",62.3,181.1,0,2017
"321",62.3,183.1,0,2017
"322",62.3,185.1,0,2017
"323",62.3,187.1,0,2017
"324",62.3,189.1,0,2017
"325",62.3,191.1,0,2017
"326",62.3,193.1,0,2017
"327",62.3,195.1,0,2017
"328",62.3,197.1,0,2017
"329",62.3,199.1,0,2017
"330",62.3,201.1,0,2017
"331",64.3,181.1,0,2017
"332",64.3,183.1,0,2017
"333",64.3,185.1,0,2017
"334",64.3,187.1,0,2017
"335",64.3,189.1,0,2017
"336",64.3,191.1,0,2017
"337",64.3,193.1,0,2017
"338",64.3,195.1,0,2017
"339",64.3,197.1,0,2017
"340",64.3,199.1,0,2017
"341",64.3,201.1,0,2017
"342",66.3,181.1,0,2017
"343",66.3,183.1,0,2017
"344",66.3,185.1,0,2017
"345",66.3,187.1,0,2017
"346",66.3,189.1,0,2017
"347",66.3,191.1,0,2017
"348",66.3,193.1,0,2017
"349",66.3,195.1,0,2017
"350",66.3,197.1,0,2017
"351",66.3,199.1,0,2017
"352",66.3,201.1,0,2017
"353",52.3,181.1,0,2016
"354",52.3,183.1,0,2016
"355",52.3,185.1,0,2016
"356",52.3,187.1,0,2016
"357",52.3,189.1,50.34,2016
"358",52.3,191.1,0,2016
"359",52.3,193.1,30.57,2016
"360",52.3,195.1,0,2016
"361",52.3,197.1,0,2016
"362",52.3,199.1,0,2016
"363",52.3,201.1,0,2016
"364",54.3,181.1,0,2016
"365",54.3,183.1,0,2016
"366",54.3,185.1,0,2016
"367",54.3,187.1,0,2016
"368",54.3,189.1,62.83,2016
"369",54.3,191.1,141.69,2016
"370",54.3,193.1,37574.06,2016
"371",54.3,195.1,219138.34,2016
"372",54.3,197.1,1719846.51,2016
"373",54.3,199.1,0,2016
"374",54.3,201.1,0,2016
"375",56.3,181.1,0,2016
"376",56.3,183.1,0,2016
"377",56.3,185.1,1143.51,2016
"378",56.3,187.1,55146.4,2016
"379",56.3,189.1,1787071.96,2016
"380",56.3,191.1,14479727.17,2016
"381",56.3,193.1,44425497.82,2016
"382",56.3,195.1,26771552.54,2016
"383",56.3,197.1,9794458.72,2016
"384",56.3,199.1,0,2016
"385",56.3,201.1,0,2016
"386",58.3,181.1,35.45,2016
"387",58.3,183.1,856.56,2016
"388",58.3,185.1,1696.16,2016
"389",58.3,187.1,210264.1,2016
"390",58.3,189.1,6574046.33,2016
"391",58.3,191.1,1280605.06,2016
"392",58.3,193.1,1271129.21,2016
"393",58.3,195.1,7246161.1,2016
"394",58.3,197.1,936410.02,2016
"395",58.3,199.1,0,2016
"396",58.3,201.1,0,2016
"397",60.3,181.1,3.83,2016
"398",60.3,183.1,27.53,2016
"399",60.3,185.1,1127.46,2016
"400",60.3,187.1,9922.5,2016
"401",60.3,189.1,5479.88,2016
"402",60.3,191.1,0,2016
"403",60.3,193.1,0,2016
"404",60.3,195.1,0,2016
"405",60.3,197.1,0,2016
"406",60.3,199.1,0,2016
"407",60.3,201.1,0,2016
"408",62.3,181.1,0,2016
"409",62.3,183.1,0,2016
"410",62.3,185.1,0,2016
"411",62.3,187.1,0,2016
"412",62.3,189.1,0,2016
"413",62.3,191.1,0,2016
"414",62.3,193.1,0,2016
"415",62.3,195.1,0,2016
"416",62.3,197.1,0,2016
"417",62.3,199.1,0,2016
"418",62.3,201.1,0,2016
"419",64.3,181.1,0,2016
"420",64.3,183.1,0,2016
"421",64.3,185.1,0,2016
"422",64.3,187.1,0,2016
"423",64.3,189.1,0,2016
"424",64.3,191.1,0,2016
"425",64.3,193.1,0,2016
"426",64.3,195.1,0,2016
"427",64.3,197.1,0,2016
"428",64.3,199.1,0,2016
"429",64.3,201.1,0,2016
"430",66.3,181.1,0,2016
"431",66.3,183.1,0,2016
"432",66.3,185.1,0,2016
"433",66.3,187.1,0,2016
"434",66.3,189.1,0,2016
"435",66.3,191.1,0,2016
"436",66.3,193.1,0,2016
"437",66.3,195.1,0,2016
"438",66.3,197.1,0,2016
"439",66.3,199.1,0,2016
"440",66.3,201.1,0,2016
"441",52.3,181.1,0,2015
"442",52.3,183.1,0,2015
"443",52.3,185.1,0,2015
"444",52.3,187.1,0,2015
"445",52.3,189.1,24.84,2015
"446",52.3,191.1,0,2015
"447",52.3,193.1,21.28,2015
"448",52.3,195.1,0,2015
"449",52.3,197.1,0,2015
"450",52.3,199.1,0,2015
"451",52.3,201.1,0,2015
"452",54.3,181.1,0,2015
"453",54.3,183.1,0,2015
"454",54.3,185.1,0,2015
"455",54.3,187.1,0,2015
"456",54.3,189.1,84.37,2015
"457",54.3,191.1,222.86,2015
"458",54.3,193.1,38466.86,2015
"459",54.3,195.1,545077.15,2015
"460",54.3,197.1,509185.79,2015
"461",54.3,199.1,0,2015
"462",54.3,201.1,0,2015
"463",56.3,181.1,0,2015
"464",56.3,183.1,0,2015
"465",56.3,185.1,29.14,2015
"466",56.3,187.1,6474500.21,2015
"467",56.3,189.1,2586160.8,2015
"468",56.3,191.1,29860189.34,2015
"469",56.3,193.1,32397734.41,2015
"470",56.3,195.1,19494024.47,2015
"471",56.3,197.1,4905755.03,2015
"472",56.3,199.1,0,2015
"473",56.3,201.1,0,2015
"474",58.3,181.1,13.19,2015
"475",58.3,183.1,112.93,2015
"476",58.3,185.1,115.56,2015
"477",58.3,187.1,33496.48,2015
"478",58.3,189.1,4175371.92,2015
"479",58.3,191.1,2684452.65,2015
"480",58.3,193.1,138365.4,2015
"481",58.3,195.1,5471215.97,2015
"482",58.3,197.1,662983.35,2015
"483",58.3,199.1,0,2015
"484",58.3,201.1,0,2015
"485",60.3,181.1,0,2015
"486",60.3,183.1,0,2015
"487",60.3,185.1,0,2015
"488",60.3,187.1,0,2015
"489",60.3,189.1,0,2015
"490",60.3,191.1,0,2015
"491",60.3,193.1,0,2015
"492",60.3,195.1,0,2015
"493",60.3,197.1,0,2015
"494",60.3,199.1,0,2015
"495",60.3,201.1,0,2015
"496",62.3,181.1,0,2015
"497",62.3,183.1,0,2015
"498",62.3,185.1,0,2015
"499",62.3,187.1,0,2015
"500",62.3,189.1,0,2015
"501",62.3,191.1,0,2015
"502",62.3,193.1,0,2015
"503",62.3,195.1,0,2015
"504",62.3,197.1,0,2015
"505",62.3,199.1,0,2015
"506",62.3,201.1,0,2015
"507",64.3,181.1,0,2015
"508",64.3,183.1,0,2015
"509",64.3,185.1,0,2015
"510",64.3,187.1,0,2015
"511",64.3,189.1,0,2015
"512",64.3,191.1,0,2015
"513",64.3,193.1,0,2015
"514",64.3,195.1,0,2015
"515",64.3,197.1,0,2015
"516",64.3,199.1,0,2015
"517",64.3,201.1,0,2015
"518",66.3,181.1,0,2015
"519",66.3,183.1,0,2015
"520",66.3,185.1,0,2015
"521",66.3,187.1,0,2015
"522",66.3,189.1,0,2015
"523",66.3,191.1,0,2015
"524",66.3,193.1,0,2015
"525",66.3,195.1,0,2015
"526",66.3,197.1,0,2015
"527",66.3,199.1,0,2015
"528",66.3,201.1,0,2015
"529",52.3,181.1,0,2014
"530",52.3,183.1,0,2014
"531",52.3,185.1,0,2014
"532",52.3,187.1,0,2014
"533",52.3,189.1,2.13,2014
"534",52.3,191.1,0,2014
"535",52.3,193.1,271.3,2014
"536",52.3,195.1,0,2014
"537",52.3,197.1,0,2014
"538",52.3,199.1,0,2014
"539",52.3,201.1,0,2014
"540",54.3,181.1,0,2014
"541",54.3,183.1,0,2014
"542",54.3,185.1,0,2014
"543",54.3,187.1,0,2014
"544",54.3,189.1,96.85,2014
"545",54.3,191.1,19.03,2014
"546",54.3,193.1,228360.81,2014
"547",54.3,195.1,1361052.77,2014
"548",54.3,197.1,585698.72,2014
"549",54.3,199.1,0,2014
"550",54.3,201.1,0,2014
"551",56.3,181.1,0,2014
"552",56.3,183.1,0,2014
"553",56.3,185.1,0,2014
"554",56.3,187.1,13046614.05,2014
"555",56.3,189.1,442893.58,2014
"556",56.3,191.1,16441970.84,2014
"557",56.3,193.1,63286118.12,2014
"558",56.3,195.1,25397110.26,2014
"559",56.3,197.1,1334046.19,2014
"560",56.3,199.1,0,2014
"561",56.3,201.1,0,2014
"562",58.3,181.1,12.48,2014
"563",58.3,183.1,2.79,2014
