SPECIES_CODE,YEAR,SUBAREA,SEX,AGE,AGEPOP,MEANLEN,SDEV
10210,1987,4,9,22,1198035,359.28,15.39
10210,1987,4,9,23,1913212,358.11,8.22
10210,1987,4,9,24,848895,349.64,1.85
10210,1987,4,9,25,1988935,320.3,2.45
10210,1987,4,9,26,57520,310,0
10210,1987,5,1,19,0,,
10210,1987,5,2,10,20398,360,0
10210,1987,5,2,12,20398,360,0
10210,1987,5,2,14,20398,360,0
10210,1987,5,2,16,20398,360,0
10210,1987,5,2,17,10199,360,0
10210,1987,5,2,18,10199,360,0
10210,1987,5,2,19,20398,360,0
10210,1987,5,2,20,30597,360,0
10210,1987,5,2,22,10199,360,0
10210,1987,5,2,23,10199,360,0
10210,1987,5,3,10,0,,
10210,1987,5,3,12,0,,
10210,1987,5,3,14,0,,
10210,1987,5,3,16,0,,
10210,1987,5,3,17,0,,
10210,1987,5,3,18,0,,
10210,1987,5,3,19,0,,
10210,1987,5,3,20,0,,
10210,1987,5,3,22,0,,
10210,1987,5,3,23,0,,
10210,1987,5,9,10,20398,360,0
10210,1987,5,9,12,20398,360,0
10210,1987,5,9,14,20398,360,0
10210,1987,5,9,16,20398,360,0
10210,1987,5,9,17,10199,360,0
10210,1987,5,9,18,10199,360,0
10210,1987,5,9,19,20398,360,0
10210,1987,5,9,20,30597,360,0
10210,1987,5,9,22,10199,360,0
10210,1987,5,9,23,10199,360,0
10210,1987,999999,1,-9,3590848,301.02,143.74
10210,1987,999999,1,3,4545758,110,0
10210,1987,999999,1,4,39650639,118.52,20.6
10210,1987,999999,1,5,103498915,136.98,22.18
10210,1987,999999,1,6,813906525,169.78,30.24
10210,1987,999999,1,7,453408880,206.9,32.73
10210,1987,999999,1,8,650090396,242.06,39.18
10210,1987,999999,1,9,427470425,266.51,22.09
10210,1987,999999,1,10,314094443,272.47,20.1
10210,1987,999999,1,11,264798379,285.31,21.32
10210,1987,999999,1,12,201192581,287.59,20.35
10210,1987,999999,1,13,140832637,302.19,16.25
10210,1987,999999,1,14,101382197,301.79,17.72
10210,1987,999999,1,15,135688832,290.74,22.1
10210,1987,999999,1,16,176187598,296.05,15.22
10210,1987,999999,1,17,209756546,301,14.29
10210,1987,999999,1,18,166495534,297.66,15.15
10210,1987,999999,1,19,118527724,307.83,12.8
10210,1987,999999,1,20,35103824,299.08,27.77
10210,1987,999999,1,22,17973170,320,0
10210,1987,999999,1,23,2496813,350,0
10210,1987,999999,1,24,3753906,340,0
10210,1987,999999,1,25,3753906,340,0
10210,1987,999999,1,26,14634221,310,0
10210,1987,999999,2,-9,1519421,168.62,154.85
10210,1987,999999,2,4,68329463,127.21,22.41
10210,1987,999999,2,5,116698627,166,27.78
10210,1987,999999,2,6,781271244,174.06,33.76
10210,1987,999999,2,7,443965374,226.02,37.39
10210,1987,999999,2,8,816168855,251.44,35.84
10210,1987,999999,2,9,250531532,281.28,23.71
10210,1987,999999,2,10,362206768,300.36,31.97
10210,1987,999999,2,11,576810339,302.34,18.93
10210,1987,999999,2,12,341868894,315.86,20.66
10210,1987,999999,2,13,431567029,315.82,24.37
10210,1987,999999,2,14,232873004,319.15,21.69
10210,1987,999999,2,15,259502297,318.67,23.3
10210,1987,999999,2,16,237368767,328.29,22.06
10210,1987,999999,2,17,173127446,325.74,22.59
10210,1987,999999,2,18,163052752,336.7,16.82
10210,1987,999999,2,19,184065014,331.71,20.09
10210,1987,999999,2,20,41746372,357.62,12.77
10210,1987,999999,2,21,29731203,356.97,11.41
10210,1987,999999,2,22,10517312,364,4.9
10210,1987,999999,2,23,20786102,357.08,7.82
10210,1987,999999,2,24,10268790,350,0
10210,1987,999999,2,25,27410279,320,0
10210,1987,999999,3,-9,0,,
10210,1987,999999,3,3,0,,
10210,1987,999999,3,4,0,,
10210,1987,999999,3,5,0,,
10210,1987,999999,3,6,0,,
10210,1987,999999,3,7,0,,
10210,1987,999999,3,8,0,,
10210,1987,999999,3,9,0,,
10210,1987,999999,3,10,0,,
10210,1987,999999,3,11,0,,
10210,1987,999999,3,12,0,,
10210,1987,999999,3,13,0,,
10210,1987,999999,3,14,0,,
10210,1987,999999,3,15,0,,
10210,1987,999999,3,16,0,,
10210,1987,999999,3,17,0,,
10210,1987,999999,3,18,0,,
10210,1987,999999,3,19,0,,
10210,1987,999999,3,20,0,,
10210,1987,999999,3,21,0,,
10210,1987,999999,3,22,0,,
10210,1987,999999,3,23,0,,
10210,1987,999999,3,24,0,,
10210,1987,999999,3,25,0,,
10210,1987,999999,3,26,0,,
10210,1987,999999,9,-9,5110269,261.66,159.09
10210,1987,999999,9,3,4545758,110,0
10210,1987,999999,9,4,107980102,124.02,22.16
10210,1987,999999,9,5,220197542,152.36,29.15
10210,1987,999999,9,6,1595177769,171.88,32.09
10210,1987,999999,9,7,897374254,216.36,36.39
10210,1987,999999,9,8,1466259251,247.28,37.65
10210,1987,999999,9,9,678001957,271.96,23.8
10210,1987,999999,9,10,676301211,287.4,30.47
10210,1987,999999,9,11,841608718,296.98,21.24
10210,1987,999999,9,12,543061475,305.38,24.67
10210,1987,999999,9,13,572399666,312.47,23.39
10210,1987,999999,9,14,334255201,313.89,22.06
10210,1987,999999,9,15,395191129,309.08,26.46
10210,1987,999999,9,16,413556365,314.55,25.14
10210,1987,999999,9,17,382883992,312.19,22.23
10210,1987,999999,9,18,329548286,316.98,25.23
10210,1987,999999,9,19,302592738,322.35,21.11
10210,1987,999999,9,20,76850196,330.88,35.93
10210,1987,999999,9,21,29731203,356.97,11.41
