"","Year","Peel","SSB","SSB_sd","Totbio","Totbio_sd","Rec","Rec_sd"
"380",2008,5,1103.54,55.3226,3034.15,130.35,2.56171,0.29345
"381",2009,5,1053.03,54.859,2830.72,127.118,2.60427,0.33963
"382",2010,5,1020.95,54.6078,2882.38,131.537,3.0174,0.461901
"383",2011,5,989.365,54.4416,2891.69,135.792,1.38268,0.389016
"384",2012,5,965.49,55.0043,2865.84,140.509,1.13075,0.510463
"385",2013,5,954.185,56.2951,2799.92,144.17,2.42074,1.31631
"386",2014,5,911.512,56.7812,2571.96,140.435,2.34131,1.56072
"387",2015,5,911.714,59.199,2560.48,148.873,2.52815,1.78529
"388",1954,6,992.621,126.481,2560.82,154.035,2.02871,0.289118
"389",1955,6,1002.32,119.527,2509.89,138.29,1.66669,0.22474
"390",1956,6,993.494,110.813,2451.24,122.438,1.30286,0.323269
"391",1957,6,969.153,101.274,2386.94,106.423,3.79499,0.613609
"392",1958,6,932.66,91.5105,2339.52,89.6587,2.57946,0.214019
"393",1959,6,856.884,79.9963,2291.88,72.5893,1.94824,0.142321
"394",1960,6,672.649,63.2577,2115.76,56.4916,1.82445,0.13154
"395",1961,6,380.06,46.7917,1680.19,40.2697,1.06722,0.099922
"396",1962,6,112.303,21.1091,1184.71,24.9144,2.03556,0.136547
"397",1963,6,113.762,9.65611,868,17.0706,1.06983,0.102465
"398",1964,6,129.871,8.97226,894.945,17.3276,0.98574,0.0964556
"399",1965,6,145.257,10.6814,863.621,17.3578,1.2816,0.112504
"400",1966,6,162.701,12.1856,907.994,18.2145,1.315,0.121954
"401",1967,6,162.766,11.4168,893.899,18.8106,2.77975,0.198746
"402",1968,6,160.277,10.1963,821.622,19.0204,4.30361,0.262102
"403",1969,6,152.814,10.4098,860.884,21.1521,4.4298,0.270908
"404",1970,6,116.487,7.83568,843.365,23.5012,5.83049,0.317656
"405",1971,6,100.39,6.69852,921.559,27.7767,6.46353,0.334129
"406",1972,6,82.9899,6.89367,1009.06,33.1551,5.06743,0.284621
"407",1973,6,85.8337,7.69597,1283.33,40.4875,3.50027,0.223898
"408",1974,6,95.495,8.40438,1552.89,48.3817,4.69482,0.25711
"409",1975,6,146.153,11.3537,1925.05,58.3408,5.50061,0.27582
"410",1976,6,208.577,13.7703,2253.7,67.2032,3.60541,0.212566
"411",1977,6,305.921,17.2858,2582.72,75.6068,4.52094,0.242098
"412",1978,6,431.858,21.317,2892.55,83.4187,2.95619,0.187115
"413",1979,6,563.797,25.7832,3060.83,89.7892,1.88876,0.144956
"414",1980,6,712.716,30.6297,3248.21,95.4258,3.65902,0.208888
"415",1981,6,852.167,35.2997,3415.55,100.095,2.73704,0.176773
"416",1982,6,931.629,37.6231,3529.3,102.593,7.93323,0.345343
"417",1983,6,1046.92,41.0877,3497.13,103.01,1.46704,0.124966
"418",1984,6,1138.02,43.7667,3731.24,109.801,6.54115,0.300792
"419",1985,6,1192.68,46.4482,3738.24,112.991,2.25817,0.155257
"420",1986,6,1180.22,47.5537,3437.85,109.252,1.72829,0.132022
"421",1987,6,1174.8,49.1441,3403.14,112.16,2.35285,0.154778
"422",1988,6,1111.15,48.4815,3292.44,111.398,3.21224,0.18574
"423",1989,6,1080.86,49.169,3350.34,116.608,3.19166,0.184449
"424",1990,6,1091.3,49.8471,3201.48,114.129,1.58217,0.121382
"425",1991,6,1176.46,52.2568,3310.25,117.261,1.76143,0.129947
"426",1992,6,1266.69,54.9539,3512.48,123.598,3.86116,0.215192
"427",1993,6,1312.78,56.8981,3562.06,126.546,2.27852,0.154735
"428",1994,6,1315.07,57.0789,3587.33,127.999,1.90063,0.139113
"429",1995,6,1310.9,57.5911,3340.39,122.782,1.88649,0.13898
"430",1996,6,1233.74,55.3824,3225.25,120.755,4.58164,0.252428
"431",1997,6,1190.31,54.5755,3233.05,122.873,1.96175,0.144326
"432",1998,6,1109.09,52.6522,2924.39,116.418,1.64862,0.13069
"433",1999,6,1088.94,52.3659,2709.15,111.135,1.98463,0.147293
"434",2000,6,1065.84,51.8761,2729.51,112.062,2.78361,0.187855
"435",2001,6,1051.43,51.4754,2628.17,109.724,1.81621,0.147025
"436",2002,6,1040.83,51.2223,2643.06,110.661,2.54545,0.19143
"437",2003,6,1040.8,51.2023,2819.25,118.049,2.5149,0.200338
"438",2004,6,1064.64,52.1862,3004.64,126.217,4.35075,0.31908
"439",2005,6,1074.81,52.8127,3096.31,130.893,2.14643,0.215275
"440",2006,6,1091.97,54.1294,3077.56,132.407,2.42697,0.258318
"441",2007,6,1092.24,55.1382,3087.66,135.568,3.11672,0.339479
"442",2008,6,1056.65,55.3753,2957.36,134.094,2.6029,0.348377
"443",2009,6,1006.58,55.0904,2762.79,131.529,2.86426,0.460443
"444",2010,6,975.357,55.0344,2835.14,138.388,3.14995,0.65998
"445",2011,6,945.899,55.1693,2858.39,144.746,1.2253,0.558631
"446",2012,6,926.078,56.1897,2855.04,152.345,1.71904,0.99238
"447",2013,6,921.358,58.1725,2807.45,158.722,2.34852,1.57597
"448",2014,6,885.585,59.3868,2584.26,155.593,2.52739,1.78974
"449",1954,7,994.047,126.652,2564.5,154.371,2.02779,0.289329
"450",1955,7,1003.77,119.688,2513.17,138.593,1.66655,0.224819
"451",1956,7,994.942,110.962,2454.09,122.71,1.30247,0.325412
"452",1957,7,970.581,101.409,2389.35,106.659,3.7906,0.614944
"453",1958,7,934.052,91.6333,2341.46,89.8454,2.578,0.213524
"454",1959,7,858.212,80.1086,2293.33,72.7178,1.94846,0.142217
"455",1960,7,673.832,63.3659,2116.71,56.562,1.82425,0.131489
"456",1961,7,380.967,46.8903,1680.66,40.2925,1.06597,0.0997827
"457",1962,7,112.433,21.1479,1184.76,24.9127,2.03175,0.136095
"458",1963,7,113.779,9.67297,867.875,17.0553,1.06704,0.102086
"459",1964,7,129.878,8.97774,894.69,17.2964,0.98163,0.095887
"460",1965,7,145.261,10.6873,863.145,17.3048,1.27243,0.111381
"461",1966,7,162.695,12.1899,907.169,18.1333,1.29885,0.119964
"462",1967,7,162.746,11.4079,892.527,18.6834,2.73617,0.194455
"463",1968,7,160.207,10.176,819.276,18.8117,4.22273,0.255415
"464",1969,7,152.664,10.4004,856.815,20.8262,4.33516,0.263604
"465",1970,7,116.194,7.80038,836.464,22.9759,5.69526,0.308235
"466",1971,7,99.9003,6.63129,910.408,26.9884,6.30412,0.323523
"467",1972,7,82.298,6.788,991.977,32.0108,4.93614,0.275498
"468",1973,7,84.8164,7.56188,1258.82,38.9482,3.40773,0.216883
"469",1974,7,93.9157,8.22796,1519.73,46.3912,4.57005,0.248568
"470",1975,7,143.312,11.0824,1881.41,55.8056,5.35589,0.266414
"471",1976,7,204.004,13.3995,2199.67,64.1307,3.50935,0.205718
"472",1977,7,298.671,16.7655,2518.21,72.0013,4.39661,0.233743
"473",1978,7,420.896,20.5897,2817.62,79.2887,2.87275,0.180891
"474",1979,7,548.22,24.8048,2976.56,85.1806,1.83344,0.140222
"475",1980,7,691.881,29.3782,3155.3,90.3864,3.54853,0.201155
"476",1981,7,826.018,33.7799,3314.93,94.6785,2.65108,0.170227
"477",1982,7,901.973,35.9281,3422.29,96.8796,7.67469,0.329625
"478",1983,7,1012.68,39.1499,3388.14,97.2089,1.41881,0.120428
"479",1984,7,1099.59,41.6047,3611.31,103.462,6.31973,0.28712
"480",1985,7,1150.04,44.0435,3612.79,106.368,2.17921,0.149003
"481",1986,7,1134.84,44.9784,3314.54,102.708,1.66455,0.126617
"482",1987,7,1126.46,46.3899,3274.48,105.3,2.26153,0.14797
"483",1988,7,1062.19,45.6772,3162.19,104.445,3.07983,0.176936
"484",1989,7,1030,46.242,3210.81,109.141,3.04972,0.175276
"485",1990,7,1038.67,46.8317,3063.25,106.741,1.50675,0.115289
"486",1991,7,1120.21,49.0596,3165.78,109.627,1.6701,0.123002
"487",1992,7,1206.34,51.5416,3357.05,115.514,3.64025,0.20298
"488",1993,7,1249.37,53.3293,3398.5,118.221,2.13687,0.145516
"489",1994,7,1250.49,53.459,3416.28,119.585,1.77453,0.130489
"490",1995,7,1244.74,53.8916,3174.97,114.66,1.75397,0.130122
"491",1996,7,1169.11,51.7803,3057.1,112.782,4.2776,0.240396
"492",1997,7,1125.15,50.9727,3056.14,114.836,1.83162,0.137534
"493",1998,7,1044.62,49.1219,2753.09,108.776,1.52696,0.124125
"494",1999,7,1023.22,48.8556,2543.49,103.866,1.85313,0.141315
"495",2000,7,999.222,48.4123,2556.35,104.893,2.52853,0.178267
"496",2001,7,983.207,48.0629,2455.06,102.803,1.65586,0.140991
"497",2002,7,970.944,47.8577,2463.04,103.864,2.39545,0.190853
"498",2003,7,968.244,47.8886,2620.55,111.115,2.35126,0.203026
"499",2004,7,987.857,48.8803,2788.47,119.285,4.33479,0.345144
"500",2005,7,994.629,49.5431,2871.09,124.328,2.07381,0.227453
"501",2006,7,1007.37,50.866,2850.07,126.367,2.39544,0.281605
"502",2007,7,1003.7,51.9129,2859.47,130.36,3.10294,0.384946
"503",2008,7,965.2,52.2504,2740.61,130.06,2.99257,0.470266
"504",2009,7,913.048,52.0951,2555.8,128.458,3.51597,0.703724
"505",2010,7,880.091,52.1807,2645.5,138.233,2.70939,0.95581
"506",2011,7,849.552,52.5819,2679.24,146.945,1.89503,1.09693
"507",2012,7,829.6,54.0454,2705.32,158.531,2.3288,1.56722
"508",2013,7,826.477,56.736,2688.1,169.295,2.50065,1.77366
"509",1954,8,993.761,126.583,2563.84,154.158,2.02619,0.289647
"510",1955,8,1003.48,119.618,2512.51,138.37,1.66859,0.223797
"511",1956,8,994.66,110.892,2453.46,122.5,1.30951,0.324766
"512",1957,8,970.307,101.34,2388.79,106.487,3.79702,0.619545
"513",1958,8,933.794,91.5644,2341.03,89.7255,2.57674,0.213691
"514",1959,8,857.994,80.0381,2293.08,72.6495,1.94822,0.14214
"515",1960,8,673.711,63.2872,2116.62,56.5356,1.82392,0.131452
"516",1961,8,381.003,46.7903,1680.68,40.2902,1.06531,0.099716
"517",1962,8,112.285,21.1161,1184.81,24.9189,2.03048,0.135977
"518",1963,8,113.761,9.67023,867.916,17.0591,1.06668,0.10202
"519",1964,8,129.989,8.96375,894.659,17.2969,0.980759,0.0957003
"520",1965,8,145.427,10.6635,863.067,17.3005,1.27012,0.111105
"521",1966,8,162.88,12.1712,907.011,18.1211,1.2943,0.119427
"522",1967,8,162.885,11.3933,892.238,18.6594,2.72373,0.193365
"523",1968,8,160.249,10.1607,818.723,18.7679,4.19734,0.253708
"524",1969,8,152.624,10.4098,855.767,20.7547,4.30432,0.261777
"525",1970,8,116.112,7.79569,834.574,22.8624,5.65041,0.305973
"526",1971,8,99.7881,6.61722,907.214,26.8292,6.25024,0.321035
"527",1972,8,82.18,6.75871,986.905,31.7997,4.89147,0.273259
"528",1973,8,84.6274,7.53002,1251.36,38.6907,3.3762,0.215044
"529",1974,8,93.5601,8.18785,1509.45,46.0852,4.52701,0.246506
"530",1975,8,142.598,11.0191,1867.73,55.4502,5.30573,0.264299
"531",1976,8,202.752,13.3178,2182.57,63.7294,3.47674,0.204033
"532",1977,8,296.575,16.6603,2497.65,71.5602,4.35483,0.231873
"533",1978,8,417.604,20.4571,2793.61,78.8136,2.84497,0.17937
"534",1979,8,543.424,24.6441,2949.43,84.6768,1.81504,0.138962
"535",1980,8,685.344,29.1939,3125.3,89.8648,3.51154,0.199465
"536",1981,8,817.695,33.5768,3282.34,94.1485,2.62236,0.168723
"537",1982,8,892.433,35.7163,3387.6,96.3779,7.58979,0.32761
"538",1983,8,1001.56,38.9235,3352.8,96.7149,1.4028,0.119244
"539",1984,8,1087.03,41.3686,3572.38,102.994,6.2478,0.285359
"540",1985,8,1136.06,43.792,3572.09,105.911,2.15367,0.147651
"541",1986,8,1119.94,44.7153,3274.59,102.278,1.64416,0.125381
"542",1987,8,1110.56,46.1148,3232.79,104.894,2.23247,0.14665
"543",1988,8,1046.08,45.404,3120.07,104.08,3.03796,0.175626
"544",1989,8,1013.26,45.9667,3165.79,108.83,3.00516,0.174065
"545",1990,8,1021.34,46.5707,3018.73,106.474,1.48312,0.114086
"546",1991,8,1101.68,48.8178,3119.35,109.438,1.64166,0.121806
"547",1992,8,1186.5,51.3242,3307.27,115.45,3.57249,0.202487
"548",1993,8,1228.58,53.1341,3346.35,118.313,2.09437,0.144488
"549",1994,8,1229.38,53.2936,3362.06,119.888,1.73686,0.129376
"550",1995,8,1223.2,53.7532,3122.49,114.975,1.69286,0.128705
"551",1996,8,1148.14,51.6715,3003.89,113.29,4.17532,0.242188
"552",1997,8,1104.1,50.9063,2999.95,115.579,1.76719,0.136869
"553",1998,8,1023.9,49.1002,2698.28,109.579,1.43852,0.121833
"554",1999,8,1002.18,48.895,2490.26,104.706,1.78116,0.141182
"555",2000,8,977.976,48.5113,2499.53,105.93,2.44706,0.180386
"556",2001,8,961.547,48.244,2397.3,103.909,1.5404,0.139963
"557",2002,8,948.795,48.1139,2400.24,105.062,2.21113,0.192073
"558",2003,8,945.175,48.2402,2548.32,112.545,2.24764,0.214406
"559",2004,8,963.112,49.3299,2705.81,120.941,4.47141,0.390859
"560",2005,8,968.265,50.0704,2781.84,126.252,2.06562,0.253746
"561",2006,8,978.627,51.4671,2758.26,128.57,2.69475,0.349899
"562",2007,8,972.4,52.5747,2768.49,133.283,3.18963,0.486289
"563",2008,8,931.517,52.9615,2661.24,134.134,3.65734,0.722502
"564",2009,8,877.069,52.8271,2485.41,133.425,4.63486,1.30392
"565",2010,8,841.768,52.9217,2611.36,148.452,3.54296,1.81052
"566",2011,8,808.439,53.3808,2668.38,161.505,2.47865,1.68418
"567",2012,8,787.282,55.1154,2732.72,179.786,2.52011,1.78593
"568",1954,9,998.835,127.052,2576.95,154.779,2.02049,0.290512
"569",1955,9,1008.62,120.039,2523.87,138.851,1.66584,0.22421
"570",1956,9,999.776,111.259,2462.96,122.879,1.30474,0.326154
"571",1957,9,975.323,101.652,2396.4,106.793,3.80124,0.619403
"572",1958,9,938.643,91.8251,2346.78,89.974,2.58421,0.21485
"573",1959,9,862.508,80.2561,2297.06,72.843,1.95183,0.142379
"574",1960,9,677.31,63.4749,2118.96,56.665,1.82428,0.131434
"575",1961,9,382.652,46.9852,1681.62,40.3453,1.06259,0.0994103
"576",1962,9,112.013,21.2556,1184.82,24.88,2.02406,0.135095
"577",1963,9,113.575,9.70703,867.532,16.9767,1.07532,0.102907
"578",1964,9,129.7,8.98372,893.891,17.1962,0.99872,0.0966838
"579",1965,9,145.07,10.6945,861.98,17.18,1.31088,0.113083
"580",1966,9,162.49,12.1686,905.901,17.9886,1.314,0.121953
"581",1967,9,162.484,11.341,891.479,18.5153,2.76046,0.193677
"582",1968,9,159.841,10.0861,818.715,18.6041,4.20131,0.253252
"583",1969,9,152.145,10.3655,856.806,20.5764,4.31493,0.262192
"584",1970,9,115.133,7.68721,836.64,22.6597,5.65719,0.306154
"585",1971,9,99.307,6.49048,910.117,26.6187,6.25058,0.320956
"586",1972,9,82.748,6.4587,991.069,31.547,4.88782,0.273107
"587",1973,9,83.1976,7.34122,1255.19,38.457,3.37252,0.214863
"588",1974,9,85.1929,8.5041,1506.21,45.7547,4.52347,0.246381
"589",1975,9,129.01,11.1392,1859.23,54.9698,5.30469,0.264397
"590",1976,9,185.587,12.9811,2172.76,63.2361,3.4762,0.204128
"591",1977,9,276.594,15.9788,2486.1,71.0653,4.35185,0.231944
"592",1978,9,396.727,19.6492,2780.04,78.328,2.84065,0.179244
"593",1979,9,523.724,23.851,2933.92,84.2029,1.81149,0.138787
"594",1980,9,667.079,28.4923,3107.81,89.4097,3.50378,0.199301
"595",1981,9,800.9,32.965,3262.84,93.7195,2.61494,0.1685
"596",1982,9,877.181,35.195,3367.2,96.0198,7.56537,0.327843
"597",1983,9,987.016,38.4559,3331.01,96.3738,1.39784,0.11897
"598",1984,9,1072.96,40.9478,3547.92,102.711,6.22395,0.285566
"599",1985,9,1122.85,43.4278,3546.2,105.665,2.14394,0.147352
"600",1986,9,1107.91,44.4177,3248.57,102.066,1.6355,0.125023
"601",1987,9,1099.25,45.8776,3205.86,104.751,2.21863,0.146311
"602",1988,9,1035.34,45.214,3091.98,103.99,3.01576,0.175452
"603",1989,9,1002.7,45.8217,3135.21,108.83,2.97905,0.173964
"604",1990,9,1010.9,46.4731,2987.76,106.522,1.46761,0.113601
"605",1991,9,1091.15,48.7753,3086.35,109.581,1.6217,0.121359
"606",1992,9,1175.72,51.3401,3271.61,115.755,3.52285,0.203358
"607",1993,9,1217.51,53.2018,3307.8,118.796,2.06164,0.144396
"608",1994,9,1218.21,53.4066,3320.5,120.592,1.70383,0.130009
"609",1995,9,1211.7,53.9135,3081.6,115.681,1.67257,0.130276
"610",1996,9,1136.65,51.8632,2961.29,114.198,4.13068,0.248323
"611",1997,9,1092.13,51.1501,2954.62,116.759,1.72524,0.138545
"612",1998,9,1011.49,49.3931,2653.73,110.832,1.43579,0.125442
"613",1999,9,989.13,49.2573,2446.69,105.99,1.76122,0.145582
"614",2000,9,964.386,48.9382,2454.4,107.497,2.43014,0.188943
"615",2001,9,947.221,48.7595,2352.01,105.593,1.5743,0.151492
"616",2002,9,933.815,48.7113,2354.84,107.036,2.24622,0.213374
"617",2003,9,929.301,48.9455,2500.7,115.091,2.32555,0.247048
"618",2004,9,946.198,50.1669,2659.36,124.343,4.73133,0.463253
"619",2005,9,950.656,51.0325,2741.21,130.79,2.10913,0.303256
"620",2006,9,960.215,52.5773,2725.65,134.233,3.08917,0.488815
"621",2007,9,953.43,53.8429,2749.72,141.031,3.94452,0.776515
"622",2008,9,912.461,54.41,2655.79,144.03,3.80053,1.193
"623",2009,9,858.521,54.4513,2471.77,143.239,1.94346,1.12935
"624",2010,9,824.899,54.7938,2594.45,161.785,2.33902,1.58362
"625",2011,9,794.685,55.7202,2658.38,178.208,2.48731,1.76551
"626",1954,10,996.529,126.958,2570.99,154.986,2.02396,0.29015
"627",1955,10,1006.29,119.977,2518.98,139.149,1.66739,0.224544
"628",1956,10,997.472,111.231,2459.18,123.224,1.30552,0.330546
"629",1957,10,973.08,101.656,2393.68,107.123,3.78467,0.621384
"630",1958,10,936.497,91.8588,2345.01,90.2298,2.5744,0.212857
"631",1959,10,860.583,80.316,2296.07,72.9932,1.9496,0.142069
"632",1960,10,676.053,63.5673,2118.62,56.7191,1.82532,0.131571
"633",1961,10,382.863,47.051,1681.74,40.3492,1.06506,0.0997324
"634",1962,10,112.567,21.1991,1185.1,24.9324,2.03046,0.135946
"635",1963,10,113.792,9.71666,868.005,17.0727,1.06633,0.101973
"636",1964,10,129.989,8.99596,894.748,17.2973,0.979089,0.0954801
"637",1965,10,145.41,10.7076,863.058,17.2878,1.26578,0.11062
"638",1966,10,162.85,12.2157,906.79,18.0944,1.28614,0.118529
"639",1967,10,162.883,11.4109,891.698,18.6099,2.7024,0.191523
"640",1968,10,160.237,10.1574,817.636,18.6803,4.15545,0.25085
"641",1969,10,152.585,10.4412,853.714,20.6134,4.25388,0.258686
"642",1970,10,115.995,7.79089,830.963,22.6389,5.57693,0.30214
"643",1971,10,99.5657,6.58687,901.274,26.5142,6.16167,0.316786
"644",1972,10,81.8654,6.71021,977.654,31.3739,4.81731,0.269405
"645",1973,10,84.1464,7.47166,1237.89,38.1617,3.32351,0.211886
"646",1974,10,92.7518,8.10783,1490.96,45.4447,4.4575,0.243018
"647",1975,10,141.099,10.894,1843.2,54.6868,5.22661,0.260811
"648",1976,10,200.308,13.1578,2151.96,62.8498,3.4246,0.201272
"649",1977,10,292.686,16.4567,2460.87,70.5731,4.28695,0.228713
"650",1978,10,411.701,20.2006,2750.63,77.7291,2.79912,0.176749
"651",1979,10,534.979,24.3299,2900.86,83.5055,1.78425,0.136783
"652",1980,10,673.968,28.8273,3071.53,88.6284,3.44873,0.196411
"653",1981,10,803.328,33.1659,3223.91,92.8674,2.57185,0.16594
"654",1982,10,876.044,35.2822,3325.36,95.1209,7.43638,0.323347
"655",1983,10,982.551,38.4521,3289.25,95.463,1.37314,0.116988
"656",1984,10,1065.62,40.8688,3502.12,101.742,6.11181,0.281497
"657",1985,10,1112.25,43.2521,3498.38,104.65,2.10409,0.144901
"658",1986,10,1094.5,44.1451,3201.83,101.059,1.60395,0.122851
"659",1987,10,1083.34,45.5138,3156.56,103.686,2.17402,0.143816
"660",1988,10,1018.34,44.8012,3042.3,102.922,2.95148,0.172583
"661",1989,10,984.256,45.3507,3081.68,107.71,2.91077,0.1711
"662",1990,10,991.143,45.9699,2934.89,105.427,1.43135,0.111324
"663",1991,10,1069.21,48.2347,3030.99,108.493,1.57823,0.118908
"664",1992,10,1151.39,50.763,3211.28,114.674,3.41984,0.200426
"665",1993,10,1191.42,52.5952,3243.99,117.764,1.98232,0.141931
"666",1994,10,1191.27,52.7959,3253.29,119.647,1.64774,0.128505
"667",1995,10,1183.82,53.291,3016.93,114.787,1.5915,0.127735
"668",1996,10,1109.37,51.2616,2895.49,113.43,4.02005,0.249658
"669",1997,10,1064.58,50.5631,2884.67,116.094,1.65839,0.137996
"670",1998,10,984.337,48.8342,2585.95,110.248,1.37107,0.12494
"671",1999,10,961.379,48.7319,2381.16,105.476,1.72887,0.148822
"672",2000,10,936.185,48.4484,2386.03,107.118,2.36002,0.194832
"673",2001,10,918.143,48.316,2283.27,105.279,1.51171,0.157887
"674",2002,10,903.773,48.305,2283.77,106.858,2.21065,0.231375
"675",2003,10,897.733,48.5802,2423.26,115.194,2.26691,0.268557
"676",2004,10,912.482,49.8425,2575.43,124.901,4.56454,0.507327
"677",2005,10,915.41,50.7598,2652.37,132.011,1.85062,0.343833
"678",2006,10,923.166,52.3668,2634.3,136.102,2.83974,0.613133
"679",2007,10,914.966,53.7121,2656.08,144.207,4.19985,1.22805
"680",2008,10,873.384,54.3978,2555.4,147.981,2.86113,1.54367
"681",2009,10,819.503,54.5823,2373.52,147.731,2.27285,1.53309
"682",2010,10,785.759,55.095,2485.95,170.722,2.43488,1.72784
