"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29"
"152",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.35726
"153",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.82996
"154",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.13341
"155",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02484,0,0,0,0.000172203
"156",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000252925
"157",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02872,0.98838,0.74949,0.08248,0.00213,0,0,0,0,0.000252925
"158",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0.00281,0,0,0,0,0,0,0,0
"159",0,0,0,0,0,0,0,0,0,0,0,0,1.379,43.564,0.009,0.345,0.02,0.176,0.484,1.529728564,0.12387,3.974284012,5.56772,0.016844221,0.74893,1.7914692,2.006120586,0.045564329,0.1214248
"160",0,0,0,0,0,0,0,0,0,0,0,0,61.262,22.127,2.239,101.717,6.159,132.605,84.084,78.777980022,652.54424,82.49602,85.53297,287.6405,74.532413592,35.078525372,25.963719755,4.93289044,3.2826
"161",0,0,0,0,0,0,0,0,0,0,0,0,5.369,13.396,5.84,307.879,238.314,26.269,22.122,31.46639,13.950936515,13.75046,359.00138,31.65714,150.56214,26.072460212,36.50069,29.25831372,4.2737122
"162",0,0,0,0,0,0,0,0,0,0,0,0,0,0.083,0,0,0.037,0,0,0,0,0,0,0,0.00788,0,0.82919,0,0.001002556
"163",0,0,0,0,0,0,0,0,0,0,0,0,151.694,113.5,818.096,1247.544,857.568,3428.172,15.719,35.25366,6.461706515,7.83279,10.20545,19.62888,17.6146,33.53416792,61.43337,52.49272,58.93874
"164",0,0,0,0,0,0,0,0,0,0,0,0,91.958,2383.744,15686.674,827.877,0,1130.198,2.635,21.41917,0.96861,0.60993,4.82484,39.29535,159.97926,290.54602,80.2858,3759.94502,840.5054
"165",0,0,0,0,0,0,0,0,0,0,0,0,89.509,2205.275,10201.406,2.062,0,23.008,0,0,0,0.66262,7.02193,9.47218,201.935,219.52336,67.914512708,7156.51483,1141.06321
"166",0,0,0,0,0,0,0,0,0,0,0,0,0.429,1762.588,5.243,0,0,0.037,0.001,0,0,0.009,0.27373,22.43517,134.95664,120.1319,21.227124255,1548.94993,59.36202
"167",0,0,0,0,0,0,0,0,0,0,0,0,0.513,0,0.103,0,0,0,0,0.04903,0,0.001,0,12.38688,4.20457,107.07233,0.70912,894.26699,46.86757
"168",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.80345,0,28.63344,0.04362,5.87276,1.99403
"169",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.107,0,0,0,0,0,0,0,0,0,0,0,0,22.64926,21.6929
"170",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.49961,2.76575
"171",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.30138,3.49392
"172",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.5876,0.70047
"173",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.01033,0
"174",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.19731,0
"175",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.215231105
"176",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000108955
"177",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.54433
"178",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.06741
"179",0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0.11477,0,0,0.00652,0,0,0,0.00598,0.03814,0
"180",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03343,0.02901,0.01712,0,0.1269,0.09513,0,0
"181",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009436031,0,0,0,0,0
